KEY,English(US),English(UK),Japanese,Spanish,French,German,Italian
CardStock,Stock :,Stock :,しょじすう:,Tienes:,Nbre:,Anzahl:,Possiedi:
CardType,Type :,Type :,しゅるい:,Tipos:,Type:,Sorten:,Tipi:
DeleteCard,Discard,Discard,カードをすてる,Descartar,Jeter la carte,Wegwerfen,Scarta
Win,Win,Win,WIN,Victorias,Gagné,Siege,Vittorie
Lose,Lose,Lose,LOSE,Derrotas,Perdu,Niederlagen,Sconfitte
Draw,Draw,Draw,DRAW,Empates,Match Nul,Unentschieden,Pareggi
Collector,Collector[FEED=1][YADD=1][ICON=180],Collector[FEED=1][YADD=1][ICON=180],コレクターズレベル,Nivel colec.,Niveau,Sammler-[FEED=1][YSUB=4][ICON=180],Lv collez.
DiscardConfirm,[CENT]Would you like to\n[CENT]discard this card?,[CENT]Would you like to\n[CENT]discard this card?,[CENT]このカードをすてても\n[CENT]よろしいですか？,[CENT]¿Quieres desechar\n[CENT]esta carta?,[CENT]Voulez-vous jeter\n[CENT]cette carte ?,[CENT]Diese Karte\n[CENT]wegwerfen?,[CENT]Butti questa carte?\n
SelectCard1Help,Press [CBTN=CROSS] to discard one card.[ENDN],Press [CBTN=CROSS] to discard one card.[ENDN],[CBTN=CIRCLE][FEED=4]1枚すてる[ENDN],[CBTN=CROSS] Desechar una carta.[ENDN],[CBTN=CROSS][FEED=2]: Jeter une carte.[ENDN],Mit [CBTN=CROSS][FEED=4]1 Karte wegwerfen.[ENDN],[CBTN=CROSS][FEED=2]Butta una carta.[ENDN]
SelectCard2MoreHelp,Press [CBTN=L1] [CBTN=R1] to scroll through cards.\nPress [CBTN=CROSS] to discard one card.[ENDN],Press [CBTN=L1] [CBTN=R1] to scroll through cards.\nPress [CBTN=CROSS] to discard one card.[ENDN],[CBTN=L1] [CBTN=R1][XTAB=36]カードおくり\n[CBTN=CIRCLE][XTAB=36]1枚すてる[ENDN],[CBTN=L1] [CBTN=R1][XTAB=32]Pasar las cartas.\n[CBTN=CROSS][XTAB=32]Desechar una carta.[ENDN],[CBTN=L1] [CBTN=R1][XTAB=26]: Faire défiler les cartes.\n[CBTN=CROSS][XTAB=26]: Jeter une carte.[ENDN],"Mit [CBTN=L1], [CBTN=R1] nächste Karte.\nMit [CBTN=CROSS] 1 Karte wegwerfen.[ENDN]",[CBTN=L1] [CBTN=R1][XTAB=32]passa le carte\n[CBTN=CROSS][XTAB=32]butta una carta[ENDN]
ConfirmDiscardHelp,Discard card.,Discard card.,カードをすてます。,Desechar la carta.,Confirmer.,Karte wird weggeworfen.,Butta la carta.
CancelDiscardHelp,Cancel.,Cancel.,キャンセルします。,Cancelar.,Annuler.,Abbrechen.,Annulla.
,,,,,,,
BattleTargetHelpIndividual,Single,Single,単体,Individuo,Mono-cible,Einzel,Singolo
BattleTargetHelpIndividualPC,Single (party),Single (party),単体(味方),Individuo (aliado),Mn-cbl (alliée),Einzel (Verbün.),Sing. (alleato)
BattleTargetHelpIndividualNPC,Single (enemy),Single (enemy),単体(敵),Indiv. (enemigo),Mn-cbl (ennemie),Einzel (Gegner),Sing. (nemico)
BattleTargetHelpAll,All,All,全体,Grupo,Multi-cible,Fläche,Tutti
BattleTargetHelpAllPC,All (party),All (party),全体(味方),Grupo (aliados),Ml-cbl (alliées),Fläche (Verbün.),Tutti (alleati)
BattleTargetHelpAllNPC,All (enemies),All (enemies),全体(敵),Grupo (enemigos),Ml-cbl (ennemies),Fläche (Gegner),Tutti (nemici)
BattleTargetHelpRand,Random,Random,ランダム,Al azar,Cible aléatoire,Zufall,A caso
BattleTargetHelpRandPC,Random (party),Random (party),ランダム(味方),Al azar (aliados),Cbl aléa (alliée),Zufall (Verbün.),A caso (alleati)
BattleTargetHelpRandNPC,Random (enemy),Random (enemy),ランダム(敵),Al azar (enemigos),Cbl aléa (ennemie),Zufall (Gegner),A caso (nemici)
BattleTargetHelpWhole,Everyone,Everyone,全員,Todos,Tout le monde,Alle,Tutti
BattleTargetHelpSelf,Self,Self,自分自身,Uno mismo,Soi-même,Selbst,Se stesso
BattleTargetHelpMultiS,[A85038]S[383838]/M,[A85038]S[383838]/M,[A85038]単数[383838]/複数,[A85038]Indiv.[383838]/Grupo,[A85038]Mono[383838]/Multi,[A85038]E[383838]/G,[A85038]1[383838]/tutti
BattleTargetHelpMultiPCS,[A85038]S[383838]/M (party),[A85038]S[383838]/M (party),[A85038]単数[383838]/複数(味方),[A85038]Indiv.[383838]/Grupo (aliados),[A85038]Mn[383838]/Ml (alliée),[A85038]E[383838]/G(Verbün.),[A85038]1[383838]/tutti (alleati)
BattleTargetHelpMultiNPCS,[A85038]S[383838]/M (enemies),[A85038]S[383838]/M (enemies),[A85038]単数[383838]/複数(敵),[A85038]Indiv.[383838]/Grupo (enem.),[A85038]Mn[383838]/Ml (ennemie),[A85038]E[383838]/G (Gegner),[A85038]1[383838]/tutti (nemici)
BattleTargetHelpMultiM,S/[A85038]M[383838],S/[A85038]M[383838],単数/[A85038]複数[383838],Indiv./[A85038]Grupo[383838],Mono/[A85038]Multi[383838],E/[A85038]G[383838],1/[A85038]tutti[383838]
BattleTargetHelpMultiPCM,S/[A85038]M[383838] (party),S/[A85038]M[383838] (party),単数/[A85038]複数[383838](味方),Indiv./[A85038]Grupo[383838] (aliados),Mn/[A85038]Ml[383838] (alliée),Einzel/[A85038]Gruppe[383838] (Verbündete),1/[A85038]tutti[383838] (alleati)
BattleTargetHelpMultiNPCM,S/[A85038]M[383838] (enemies),S/[A85038]M[383838] (enemies),単数/[A85038]複数[383838](敵),Indiv./[A85038]Grupo[383838] (enem.),Mn/[A85038]Ml[383838] (ennemie),E/[A85038]G[383838] (Gegner),1/[A85038]tutti[383838] (nemici)
,,,,,,,
EXP,EXP,EXP,EXP,EXP,EXP,EXP,EXP
AP,AP,AP,AP,PH,CP,AP,AP
BattleResult03,Received Gil!,Received Gil!,入手ギル,Guiles ganados,Gil(s) reçu(s),Erhaltene Gil,Guil ottenuti
BattleResult04,Gil,Gil,ギル,guiles,Gil(s),Gil,Guil
Level,LV,LV,Lv,Nvl,Niv.,Lv,LV
BattleResultInfoEXPAP,Received EXP and AP!,Received EXP and AP!,EXP、APを入手!,EXP y PH obtenidos,EXP et CP reçus,EXP und AP erhalten.,EXP e AP ottenuti
BattleResultInfoGilItem,Received Item(s) and Gil,Received Item(s) and Gil,アイテム、ギルを入手,Objetos y guiles obtenidos,Gil(s) et Objet(s) reçus,Item und Gil erhalten.,Oggetti e guil ottenuti
BattleResultHelp,Press [CBTN=CROSS]  to confirm.,Press [CBTN=CROSS]  to confirm.,[CBTN=CIRCLE][FEED=2]  ボタンで確認,Pulsa el botón [CBTN=CROSS]  para confirmar.,[CBTN=CROSS][FEED=2]  : Confirmer,Mit [CBTN=CROSS]  bestätigen.,Conferma con [CBTN=CROSS]
BattleResultLearn,Learned,Learned,をおぼえた!,¡Ha aprendido,Maîtrise : , gelernt!,Appreso abilit
BattleResultLevelUp,text_levelup_us_uk_jp_gr_it,text_levelup_us_uk_jp_gr_it,text_levelup_us_uk_jp_gr_it,text_levelup_es,text_levelup_fr,text_levelup_us_uk_jp_gr_it,text_levelup_us_uk_jp_gr_it
NoItemGet,No item received.,No item received.,入手アイテムなし,No hay ningún objeto.,Aucun objet obtenu,Keine Items erhalten.,Ottenuto: nessun oggetto!
ItemOverflow,You cannot carry more than 99 units of\nany item.  Extra items will be discarded.,You cannot carry more than 99 units of\nany item. Extra items will be discarded.,99個をこえたアイテムは\nすべてきりすてられます。,Se desechan los objetos por\nexceso de las 99 unidades.,Impossible d’avoir plus\nde 99 fois le même objet.,Inventar voll. Item kann nicht\naufgenommen werden.,Gli oggetti che superano\n99 unità saranno buttati!
CardGet, Card, Card,のカード,Carta[FEED=2]:[FEED=6],Carte : ,-Karte,Carta[FEED=2]:[FEED=6]
NextLevel,Next[FEED=1][YADD=1][ICON=180],Next[FEED=1][YADD=1][ICON=180],つぎの[FEED=1][ICON=180] [FEED=1]まで,Nivel↑,Niv. suiv.,Level Up,Per lv up
ReceivedGil,Received Gil,Received Gil,ギルを入手,Botín,Gil(s) reçu(s),Erhaltene Gil,Guil ottenuti
CurrentGil,Current Gil,Current Gil,現在ギル,Capital,Gil(s),Kapital,Guil totali
,,,,,,,
NameSprite,name_header_us_uk_jp_gr,name_header_us_uk_jp_gr,name_header_us_uk_jp_gr,name_header_es,name_header_fr,name_header_us_uk_jp_gr,name_header_it
CharacterProfile0,Race: Tailed Human\nGender: Male\nAge: 16\nDominant Hand: Right,Race: Tailed Human\nGender: Male\nAge: 16\nDominant Hand: Right,種族：シッポのある人間\n性別：男\n年齢：16歳\n利き腕：右利き,Raza: humano con cola.\nSexo: masculino.\nEdad: 16 años.\nMano predominante: derecha.,Type : humain à queue\nSexe : masculin\nÂge : 16 ans\nDroitier,Volk: Mensch (Besonderheit: Schwanz)\nGeschlecht: Männlich\nAlter: 16 Jahre\nRechtshänder,Clan: umani con la coda\nSesso: maschio\nEtà: 16 anni\nMano dominante: destra
CharacterProfile1,Race: Black Mage\nGender: Male\nAge: Appears to be 9\nDominant Hand: Right,Race: Black Mage\nGender: Male\nAge: Appears to be 9\nDominant Hand: Right,種族：黒魔道士の子ども\n性別：男\n年齢：9歳（見た目）\n利き腕：右利き,Raza: vástago de mago negro.\nSexo: masculino.\nEdad: aparenta 9 años.\nMano predominante: derecha.,Type : mage noir\nSexe : masculin\nÂge : environ 9 ans\nDroitier,Volk: Schwarzmagier\nGeschlecht: Männlich\nAlter: 9 Jahre (äußere Erscheinung)\nRechtshänder,Clan: maghi neri\nSesso: maschio\nEtà: dimostra 9 anni\nMano dominante: destra
CharacterProfile2,Race: Human\nGender: Female\nAge: 16\nDominant Hand: Right,Race: Human\nGender: Female\nAge: 16\nDominant Hand: Right,種族：人間\n性別：女\n年齢：16歳\n利き腕：右利き,Raza: humano.\nSexo: femenino.\nEdad: 16 años.\nMano predominante: derecha.,Type : humain\nSexe : féminin\nÂge : 16 ans\nDroitière,Volk: Mensch\nGeschlecht: Weiblich\nAlter: 16 Jahre\nRechtshänderin,Clan: umani\nSesso: femmina\nEtà: 16 anni\nMano dominante: destra
CharacterProfile3,Race: Human\nGender: Male\nAge: 33\nDominant Hand: Right,Race: Human\nGender: Male\nAge: 33\nDominant Hand: Right,種族：人間\n性別：男\n年齢：33歳\n利き腕：右利き,Raza: humano.\nSexo: masculino.\nEdad: 33 años.\nMano predominante: derecha.,Type : humain\nSexe : masculin\nÂge : 33 ans\nDroitier,Volk: Mensch\nGeschlecht: Männlich\nAlter: 33 Jahre\nRechtshänder,Clan: umani\nSesso: maschio\nEtà: 33 anni\nMano dominante: destra
CharacterProfile4,Race: Burmecian\nGender: Female\nAge: 21\nDominant Hand: Left,Race: Burmecian\nGender: Female\nAge: 21\nDominant Hand: Left,種族：ネズミ族（ブルメシアの民）\n性別：女\n年齢：21歳\n利き腕：左利き,Raza: burmeciano.\nSexo: femenino.\nEdad: 21 años.\nMano predominante: izquierda.,Type : bloumécien\nSexe : féminin\nÂge : 21 ans\nGauchère,Volk: Burmecianer\nGeschlecht: Weiblich\nAlter: 21 Jahre\nLinkshänderin,Clan: burmesiano\nSesso: femmina\nEtà: 21 anni\nMano dominante: destra
CharacterProfile5,Race: Qu Tribe\nGender: Unknown\nAge: Between 70 and 90\nDominant Hand: Both,Race: Qu Tribe\nGender: Unknown\nAge: Between 70 and 90\nDominant Hand: Both,種族：ク族\n性別：？\n年齢：70～90歳？\n利き腕：両利き,Raza: tribu de Qu.\nSexo: desconocido.\nEdad: entre 70 y 90 años.\nMano predominante: ambas.,Type : tribu des Kwe\nSexe : inconnu\nÂge : entre 70 et 90 ans\nAmbidextre,Volk: Q\nGeschlecht: unbekannt\nAlter: zwischen 70 und 90\nBeidhändig,Clan: tribù dei Qu\nSesso: sconosciuto\nEtà: tra i 70 e i 90 anni\nMano dominante: entrambe
CharacterProfile6,Race: Horned Human\nGender: Female\nAge: 6\nDominant Hand: Right,Race: Horned Human\nGender: Female\nAge: 6\nDominant Hand: Right,種族：ツノがある人間\n性別：女\n年齢：6歳\n利き腕：右利き,Raza: humano con cuernos.\nSexo: femenino.\nEdad: 6 años.\nMano predominante: derecha.,Type : humain à corne\nSexe : féminin\nÂge : 6 ans\nDroitière,Volk: Mensch (Besonderheit: Horn)\nGeschlecht: Weiblich\nAlter: 6 Jahre\nRechtshänderin,Clan: umani con le corna\nSesso: femmina\nEtà: 6 anni\nMano dominante: destra
CharacterProfile7,Race: Human\nGender: Male\nAge: 26\nDominant Hand: Right,Race: Human\nGender: Male\nAge: 26\nDominant Hand: Right,種族：人間\n性別：男\n年齢：26歳\n利き腕：右利き,Raza: humano.\nSexo: masculino.\nEdad: 26 años.\nMano predominante: derecha.,Type : humain\nSexe : masculin\nÂge : 26 ans\nDroitier,Volk: Mensch\nGeschlecht: Männlich\nAlter: 26 Jahre\nRechtshänder,Clan: umani\nSesso: maschio\nEtà: 26 anni\nMano dominante: destra
MaxCharacters,8 Characters Max\nEmoticons are unavailable.,8 Characters Max\nEmoticons are unavailable.,8文字まで\n顔文字記号は使わないでください。,8 caracteres máximo.\nNo uses emoticonos.,8 caractères maximum\nN’utilisez pas d’émoticônes.,Max. 8 Buchstaben.\nBitte keine Sonderzeichen benutzen.,8 caratteri max.\nEmoticon non disponibili.
MaxCharacters2,\n\nPress the Tab key to use\ndefault name,\n\nPress the Tab key to use\ndefault name,\n\nTabキー：初期名に戻す,\n\nTecla Tab: nombre predeterminado.,\n\nTouche Tab : nom par défaut,\n\nTabtaste: Zurücksetzen.,\n\nTab: nome predefinito
EmptyInput,*Input character name,*Input character name,*名前を入力してください。,* Escribe un nombre.,* Saisissez le nom.,* Bitte Charakternamen eingeben.,*Inserisci il nome.
Confirm,Confirm,Confirm,決定,Aceptar,Confirmer,Bestätigen,conferma
,,,,,,,
ItemShop,Shop,Shop,ショップ,Tienda,Boutique,Item,Bottega
WeaponShop,Weapons,Weapons,ショップ,Tienda,Boutique,Waffen,Bottega
SynthesisShop,Synth,Synth,合成,Orfebre,Forge,Schmiede,Officina
Buy,Buy,Buy,かう,Comprar.,Acheter,Kaufen,Compro
Sell,Sell,Sell,うる,Vender.,Vendre,verkaufen,Vendo
BuyShopHelp,Buy items\nand weapons.,Buy items\nand weapons.[ENDN],武器やアイテムを\n買います。[ENDN],Comprar armas\ny objetos.[ENDN],Permet d’acheter\ndes armes ou\ndes objets.[ENDN],Hier können Waffen\nund Items gekauft\nwerden.[ENDN],Per comprare\narmi e oggetti.[ENDN]
SellShopHelp,Sell items\nfrom inventory.[ENDN],Sell items\nfrom inventory.[ENDN],持ち物を売ります。[ENDN],Vender armas\ny objetos.[ENDN],Permet de vendre\ndes objets en\nvotre possession.[ENDN],egenstände aus\ndem Inventar\nkönnen verkauft\nwerden.[ENDN],Per vendere\narmi e oggetti.[ENDN]
BuyHelp,What would you like to buy?,What would you like to buy?,なにを買いますか?,¿Qué quieres comprar?,Qu’est-ce que je vous donne ?,Was darf’s denn sein?,Cosa comprate?
SellHelp,What would you like to sell?,What would you like to sell?,なにを売りますか?,¿Qué quieres vender?,Qu’est-ce que vous me proposez ?,Was wollt Ihr verkaufen?,Cosa vendete?
SynthHelp,What would you like to synthesize?,What would you like to synthesise?,なににしますか?,Tú dirás...,Que voulez-vous associer ?,Wie kann ich helfen?,Quale volete?
BuyQtyHelp,How many?,How many?,いくつ買いますか?,¿Qué cantidad quieres?,Vous en voulez combien ?,Wieviele sollen’s sein?,Quanti ne volete?
SellQtyHelp,How many?,How many?,いくつ売りますか?,¿Qué cantidad vendes?,Vous en vendez combien ?,Wieviele wollt Ihr loswerden?,Quanti ne vendete?
MixQtyHelp,How many?,How many?,いくつ合成しますか?,¿Qué cantidad te fabrico?,Combien voulez-vous m’en faire associer ?,Wieviele sollen geschmiedet werden?,Quanti ve ne fabbrico?
,,,,,,,
Fund,Funds:,Funds:,ギ　  　 ル：,Guiles:,Gils:,Kapital: ,Guil:
Stock,Stock:,Stock:,しょじすう：,Tienes:,Possédé:,Im Inventar: ,Possiedi:
Equipped,Equipped: ,Equipped:,そうびすう：,En uso:,Utilisé:,Angelegt: ,In uso:
,,,,,,,
ItemRequired,Item needed:,Item needed:,必要なアイテム:,Objetos requeridos,Objet :,Benötigte Items: ,Oggetti necessari:
,,,,,,,
Quantity,Quantity:,Quantity:,こすう：,Cantidad:,Quantité:,Anzahl:,Numero:
Price,Price:,Price:,ねだん：,Precio:,Prix:,Preis:,Prezzo:
,,,,,,,
Yes,Yes,Yes,はい,Sí.,Oui,Ja.,Sì
No,No,No,いいえ,No.,Non,Nein.,No
,,,,,,,
Save,Save,Save,セーブ,Guardar,Sauver,Stand,Salva
Load,Load,Load,ロード,Cargar,Charger,Laden,Carica
SlotNo,slot {0},slot {0},スロット {0},Ranura {0},Fente {0},Steckplatz {0},Ingresso {0}
LvDialogIcon,[ICON=180],[ICON=180],[ICON=180],[ICON=636],[ICON=637],[ICON=180],[ICON=180]
SaveSlotHelp,Saves to\nSave Folder slot {0}.[ENDN],Saves to\nSave Folder slot {0}.[ENDN],スロット{0}の\n保存ブロック\nにセーブします。[ENDN],Guarda la partida\nen la Carpeta de guardado\nde la ranura {0}.[ENDN],Sauvegarde sur\nla Répertoire de sauvegarde\ndans la fente {0}.[ENDN],Auf die\nSpeicherblock\nwird gespeichert.[ENDN],Salvataggio su\nFile di salvataggio\ndell’ingresso {0}.[ENDN]
LoadSlotHelp,Loads from\nSave Folder slot {0}.[ENDN],Loads from\nSave Folder slot {0}.[ENDN],スロット{0}の\n保存ブロックから\nロードします。[ENDN],Carga datos\ncontenidos en la\nCarpeta de guardado de\nla ranura {0}.[ENDN],Charge une\nsauvegarde de la\nRépertoire de sauvegarde dans\nla fente {0}.[ENDN],Von der\nSpeicherblock\nwird geladen.[ENDN],Caricamento dati\ncontenuti in\nFile di salvataggio\ningresso {0}.[ENDN]
NoSaveHelp,There is no save data.[ENDN],There is no save data.[ENDN],データが入っていません。[ENDN],No hay datos guardados.[ENDN],Il n’y a pas de données.[ENDN],Keine Datei gefunden.[ENDN],Non ci sono dati salvati.[ENDN]
WarningAccessData,"Reading data, please wait...","Reading data, please wait...",データ読込中。お待ちください。,Leyendo los datos...,Lecture des données...,Lädt …,Lettura dei dati…
WarningSaveData,"Writing data, please wait...","Writing data, please wait...",データ書込中。お待ちください。,Guardando los datos...,Sauvegarde des données...,Daten werden gespeichert. Bitte warten.,Salvataggio dei dati…
WarningUploadData,Uploading...,Uploading...,アップロード中・・・,Subiendo...,Transfert...,Lädt hoch …,Trasferisci…
WarningDownloadData,Downloading...,Downloading...,ダウンロード中・・・,Descargando...,Téléchargement...,Lädt herunter …,Scarica…
EmptyFile,Empty block.,Empty block.,未使用ファイルです。,Archivo libre,Bloc non utilisé.,Frei.,Blocco non utilizzato
CorruptFile,Data corrupted.,Data corrupted.,データがこわれています,Datos corruptos,Données incorrectes.,Kaputter Spielstand.,Dati danneggiati
FileNo,FILE{0},FILE{0},ファイル{0},ARCHIVO {0},BLOC {0},DATEI{0},BLOCCO {0}
SaveHelpSlot,Select Save Folder slot.,Select Save Folder slot.,スロットを選んでください,Elige una ranura.,Choisir une fente pour Répertoire de sauvegarde.,Speicherblock Steckplatz wählen.,Selezionare ingresso
SaveHelpCheck,Checking...,Checking...,チェック中です,Verificando...,Lecture de la Répertoire de sauvegarde en cours...,Speicherblock wird überprüft.,Verifica in corso...
SaveHelpBlock,Select block.,Select block.,ファイルを選んでください,Elige un archivo.,Choisissez une sauvegarde.,Spielstand wählen.,Selezionare blocco
SaveHelpSave,Saving...,Saving...,セーブ中です,Guardando...,Sauvegarde en cours...,Spielstand wird gespeichert.,Salvataggio in corso...
SaveHelpLoad,Loading...,Loading...,ロード中です,Cargando...,Chargement de la Répertoire de sauvegarde...,Von der Speicherblock wird gelesen.,Caricamento dati...
SaveOverwrite,Overwriting erases\nprevious file.\nOverwrite?,Overwriting erases\nprevious file.\nOverwrite?,うわがきすると前のデータが消えます\n    うわがきしますか？,Este archivo ya contiene datos.\n¿Quieres guardar encima?,Cette opération effacera les données\nexistantes. Voulez-vous continuer ?,Spielstand geht beim überschreiben\nverloren. Trotzdem überschreiben?,Presenti dei dati.\nSovrascrivere?
SaveOverwriteOkHelp,Overwrites data and\nsaves to Save Folder.[ENDN],Overwrites data and\nsaves to Save Folder.[ENDN],前のデータをうわがきして、\n保存ブロックにセーブします。[ENDN],Guarda la partida, borrando\nlos datos anteriores.[ENDN],Efface les données existantes\net effectue une sauvegarde.[ENDN],Der alte Spielstand wird jetzt überschrieben.[ENDN]
SaveOverwriteCancelHelp,Cancels the save.[ENDN],Cancels the save.[ENDN],セーブをキャンセルします。[ENDN],Cancela la operación.[ENDN],Annule la sauvegarde.[ENDN],Speichervorgang wird abgebrochen.[ENDN],Annulla l’operazione.[ENDN]
SaveSuccess,Data saved.,Data saved.,セーブしました,Guardada.,Terminée,Fertig!,Salvato
NoSaveData,"[STRT=160,1][IMME]No FF9 save data.[TIME=-1]","[STRT=160,1][IMME]No FF9 save data.[TIME=-1]","[STRT=160,1][IMME]FF９のセーブデータがありません[TIME=-1]","[STRT=160,2][IMME]No contiene datos\nde Final Fantasy IX.[TIME=-1]","[STRT=160,1][IMME]Il n’y a pas de données FF9.[TIME=-1]","[STRT=160,1][IMME]Kein FF9 Spielstand vorhanden.[TIME=-1]","[STRT=160,2][IMME]Non contiene dati\ndi Final Fantasy IX.[TIME=-1]"
CorruptSaveData,"[STRT=160,1][IMME]Data corrupted.[TIME=-1]","[STRT=160,1][IMME]Data corrupted.[TIME=-1]","[STRT=160,1][IMME]データがこわれています[TIME=-1]","[STRT=160,1][IMME]Datos corruptos[TIME=-1]","[STRT=160,1][IMME]Données incorrectes.[TIME=-1]","[STRT=160,1][IMME]Kaputter Spielstand.[TIME=-1]","[STRT=160,1][IMME]Dati danneggiati[TIME=-1]"
LocalSaveFailed,"[STRT=160,1][IMME]Save failed.[TIME=-1]","[STRT=160,1][IMME]Save failed.[TIME=-1]","[STRT=160,1][IMME]端末へのセーブに失敗しました。[TIME=-1]","[STRT=160,1][IMME]Save failed.[TIME=-1]","[STRT=160,1][IMME]Save failed.[TIME=-1]","[STRT=160,1][IMME]Save failed.[TIME=-1]","[STRT=160,1][IMME]Save failed.[TIME=-1]"
LocalLoadFailed,"[STRT=160,1][IMME]Load failed.[TIME=-1]","[STRT=160,1][IMME]Load failed.[TIME=-1]","[STRT=160,1][IMME]端末からのロードに失敗しました。[TIME=-1]","[STRT=160,1][IMME]Load failed.[TIME=-1]","[STRT=160,1][IMME]Load failed.[TIME=-1]","[STRT=160,1][IMME]Load failed.[TIME=-1]","[STRT=160,1][IMME]Load failed.[TIME=-1]"
LocalDecryptFailed,"[STRT=160,1][IMME]Decrypt failed.[TIME=-1]","[STRT=160,1][IMME]Decrypt failed.[TIME=-1]","[STRT=170,1][IMME]ロードしたデータの解凍に失敗しました。[TIME=-1]","[STRT=160,1][IMME]Decrypt failed.[TIME=-1]","[STRT=160,1][IMME]Decrypt failed.[TIME=-1]","[STRT=160,1][IMME]Decrypt failed.[TIME=-1]","[STRT=160,1][IMME]Decrypt failed.[TIME=-1]"
,,,,,,,
CloudSave,Cloud Data,Cloud Data,Cloudデータ,Datos en la nube,Données Cloud,Cloud-Daten,Dati nel Cloud
Information,Info.,Info.,Info.,Ayuda,Infos,Info,Info
Upload,Upload,Upload,アップロード,Subir,Transférer,Upload,Trasferisci
UploadCaption,UPLOAD,UPLOAD,UPLOAD,SUBIR,TRANSFÉRER,UPLOAD,TRASFERISCI
Download,Download,Download,ダウンロード,Descargar,Télécharger,Download,Scarica
DownloadCaption,DOWNLOAD,DOWNLOAD,DOWNLOAD,DESCARGAR,TÉLÉCHARGER,DOWNLOAD,SCARICA
CloudData,Cloud Data,Cloud Data,Cloudデータ,Datos de la nube,Données Cloud,Cloud-Daten,Dati nel Cloud
LocalData,Game Data,Game Data,ゲーム内データ,Datos del juego,Données de jeu,Spieldaten,Dati di gioco
LatestSave,Last Save ,Last Save ,最新セーブ日時 ,Último guardado ,Sauvegarde la plus récente. ,Speicherdatum ,Ultimo salvataggio
SelectSyncHelpInfo,Please select to sync with Cloud Data.,Please select to sync with Cloud Data.,同期するCloudデータを選択してください。,Elige una opción para sincronizar con la nube.,Sélectionnez pour synchroniser avec les données sauvegardées sur le Cloud.,"Aktivieren, um Daten in der Cloud zu aktualisieren.",Seleziona questa opzione per salvare i dati nel Cloud.
SelectDataHelpInfo,Please select data to load.,Please select data to load.,データを選択してください,¿Qué datos quieres cargar?,Sélectionnez les données.,Bitte Speicherstand wählen.,Quali dati vuoi caricare?
ConnectingHelpInfo,Connecting...,Connecting...,接続中・・・,Conectando...,Connexion...,Verbindet …,Connessione…
ConnectingDesc,Connecting to server...,Connecting to server...,サーバー接続中・・・,Conectando con el servidor...,Connexion au serveur...,Verbindet mit Server ...,Connessione al server…
SuccessUploadDesc,Upload complete.,Upload complete.,データのアップロードに成功しました！,¡Los datos se han subido correctamente!,Données transférées avec succès !,Daten wurden erfolgreich hochgeladen!,Trasferimento completato.
SuccessDownloadDesc,Download complete.,Download complete.,データのダウンロードに成功しました！,¡Los datos se han descargado correctamente!,Données téléchargées avec succès !,Daten wurden erfolgreich heruntergeladen!,Dati scaricati!
FailedConnectDesc,Failed to connect to Cloud.,Failed to connect to Cloud.,Cloudへの接続に失敗しました。,Error al conectar a la nube.,Échec de la connexion au Cloud.,Verbindung zur Cloud fehlgeschlagen.,Impossibile connettersi al Cloud.
MobileNoticeConnectDesc,\n\n*It may take several minutes to update saved data on the Cloud.,\n\n*It may take several minutes to update saved data on the Cloud.,\n*Cloudセーブに数分かかる場合があります。,\n* El proceso de subida a la nube tarda unos minutos.,\n* La sauvegarde des données sur le Cloud peut prendre\nun peu de temps.,\n* Das Aktualisieren des Speicherstands in der Cloud kann einige Minuten dauern.,\n*Aggiornare i dati salvati nel Cloud potrebbe richiedere qualche minuto.
PCNoticeConnectDesc,\n*Saved data will be updated to the Cloud automatically\nafter quitting the game.,\n*Saved data will be updated to the Cloud automatically\nafter quitting the game.,\nゲーム終了後、セーブデータによってCloudデータが更新されます。,\n* Los datos guardados se actualizarán en la nube\nautomáticamente al salir del juego.,\n* Les données sauvegardées seront mises à jour automatiquement sur le Cloud en quittant le jeu.,\n* Gespeicherte Daten werden bei Beenden des Spiels automatisch in der Cloud aktualisiert.,\n*I dati salvati nel Cloud saranno aggiornati\nautomaticamente uscendo dal gioco.
